video_id,comment_number,sarcastic,comment
4VGd-pvSc0w,1,False,I actually like to eat white paint too😭
4VGd-pvSc0w,2,False,Is she still alive?🫣
4VGd-pvSc0w,3,False,Is this real? 😮
4VGd-pvSc0w,4,False,It looks so good when she drinks it
4VGd-pvSc0w,5,False,Is she alive?
4VGd-pvSc0w,6,False,She is dead now 😢
4VGd-pvSc0w,7,False,The correct response from a friend is wtf is wrong with you?
4VGd-pvSc0w,8,False,Does she know they come In 1 gallon pales?
4VGd-pvSc0w,9,False,not normal fo not normal
4VGd-pvSc0w,10,False,Well people drink ethanol and that a chemical
4VGd-pvSc0w,11,False,"I’ll be honest, when I was around 5 or 6, we painted a few times in summer, and I think maybe 2 or 3 times I thought it would be so funny if I drank the paint water. Been clean ever since 👌🏻"
4VGd-pvSc0w,12,False,How does the inside of her throat look like 🤔
4VGd-pvSc0w,13,False,Isn't drinking paint going to kill you😮
4VGd-pvSc0w,14,False,When someone tells you you're ugly on the inside just tell them nuuh I drink paint
4VGd-pvSc0w,15,False,Does it taste like vanilla bean?
4VGd-pvSc0w,16,False,I have the same addiction me and my 3 friends lmao
4VGd-pvSc0w,17,False,Why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why
4VGd-pvSc0w,18,False,Shit looks good ngl
4VGd-pvSc0w,19,False,"Our stomach🩷
Her stomach❤️🧡💛💚🩵"
4VGd-pvSc0w,20,False,Ewwwwwww pls stop 😑 0:31
4VGd-pvSc0w,21,False,Reminds me of Frances lol
4VGd-pvSc0w,22,False,How did she not immediately die wtf 😮
4VGd-pvSc0w,23,False,Me and my friend we are fans of the yt channel the boys and there drinking paint video we so we joke around i love paint it taste so yummy BUT WTF DRINKING PAINT
4VGd-pvSc0w,24,False,"Are you more of a Kelly-Moore, or Rust-Oleum gal?"
4VGd-pvSc0w,25,False,Somehow I cant't believe this. People will do anything to be on a TV show
4VGd-pvSc0w,26,False,"I once accidentally drank a drop of paint, i freaked out, told my mom to take me to the ER, had explosive diarrhea, and here this woman is"
4VGd-pvSc0w,27,False,Frances months ago:
4VGd-pvSc0w,28,False,She finna eat all the white paint in the world 😢
4VGd-pvSc0w,29,False,Why can't he clear house
4VGd-pvSc0w,30,False,Shit I had five boys home school work had a baby sitter so I could work really your lazy
4VGd-pvSc0w,31,False,HOW ARE YOU ALIVE
4VGd-pvSc0w,32,False,How are these people not dead? Im just waiting for this next story:  Joe eats a bullet every day for the last 18 years. Recent tests show joe has no long term damage. Like what???? Lol
4VGd-pvSc0w,33,False,She is trying to paint her blood and organs
4VGd-pvSc0w,34,False,Wonder how she is today
4VGd-pvSc0w,35,False,I do this each day
4VGd-pvSc0w,36,False,tell me this isn't Carol Baskin
4VGd-pvSc0w,37,False,Bruh is she dead
4VGd-pvSc0w,38,False,I drink it too🙂
4VGd-pvSc0w,39,False,Is the women alive
4VGd-pvSc0w,40,False,This makes me sick
4VGd-pvSc0w,41,False,why are u giving us a tutorial
4VGd-pvSc0w,42,False,NOT ME THINKING I SHOULD TRY IT💀
4VGd-pvSc0w,43,False,At least she don’t have to worry about buying food colouring
4VGd-pvSc0w,44,False,drink paint remover you will be fine.
4VGd-pvSc0w,45,False,"OH, SWEET SISTER SADIE!!!!  Who verifies this stuff before it's put out here?  This has to be made up.  Even the most avid participating village idiot wouldn't look at a can of paint and say to herself, ""Mmmmm, Mmmmm, Mmmmm, Yummy.   I have just GOT to have me some of that paint!""   Other than being a realistically possible explanation of why she's single, this is beyond just too stupid to be fact.  Paint has enough toxic chemical in it that if ingested, you'll find oneself sitting at a busy road intersection scratching behind your ear and howling at the moon.  I declare this story, 100% bupkus."
4VGd-pvSc0w,46,False,No one knows that I drink paint? They sure do now. Please get help!!! If you love your kids get help. Her friend doesn't seem too surprised.
4VGd-pvSc0w,47,False,I don’t think she really was drinking it. The look one her face with the shot glass with paint in it. That was fake. Is TLC paying people to be on this show.
4VGd-pvSc0w,48,False,She really took whiting her teeth to far
4VGd-pvSc0w,49,False,Average grappler player
4VGd-pvSc0w,50,False,Should I tell you something do you know why it’s a warm test it’s burning you
4VGd-pvSc0w,51,False,No wonder she looks like that
4VGd-pvSc0w,52,False,Ummm just smoke a joint in the Garage like all of us 40 something years old trying to relive the 90s... That's only if you're financially secure have at least forty thousand in the bank..... Or else you would be a loser ....just saying
4VGd-pvSc0w,53,False,If I had 1 thing of that paint 🎨🖌️ I would *simply pass away* ⚰️🥀
4VGd-pvSc0w,54,False,this is awakening so much past humor that i thought i left behind me
4VGd-pvSc0w,55,False,Everyone needs a friend like Stephanie
4VGd-pvSc0w,56,False,her friends reaction was so pure
4VGd-pvSc0w,57,False,Oh hi from 2023
4VGd-pvSc0w,58,False,She gets lit and passes out in front of Sherin Williams on the weekends.
4VGd-pvSc0w,59,False,this has to be fake
4VGd-pvSc0w,60,False,Oh he'll na😳
4VGd-pvSc0w,61,False,You might as well just smoke cigarettes
4VGd-pvSc0w,62,False,Yall see her eye twitch when she starts drinking
4VGd-pvSc0w,63,False,This is so fake lmao
4VGd-pvSc0w,64,False,Wdym paint looks good
4VGd-pvSc0w,65,False,I wonder if she has a white throat at 2:08 minutes of watching this video or addiction
4VGd-pvSc0w,66,False,I know her inside are probably as white as paper😐
4VGd-pvSc0w,67,False,Gloss or Matt?
4VGd-pvSc0w,68,False,8 years clean🎉
4VGd-pvSc0w,69,False,Little boy drink boy White paint ASD
4VGd-pvSc0w,70,False,"I wonder what else type of humans we have on this planet…

nvm I don’t wanna know 🫥"
4VGd-pvSc0w,71,False,Paint has a weird taste I drank some in art class with my friends
4VGd-pvSc0w,72,False,mmm yummy paint :)
4VGd-pvSc0w,73,False,This is the most heather looking girl i can think of. Her parents are amazing at naming
4VGd-pvSc0w,74,False,"Artits: OHHH NOOOOOOO
Her: *gulp gulp*"
4VGd-pvSc0w,75,False,Que the Boys Drinking Paint music
4VGd-pvSc0w,76,False,This seriously cannot be real? Wtf?
4VGd-pvSc0w,77,False,onipy tee gagwins o dink fwipy gawons o dey
4VGd-pvSc0w,78,False,had to stop at 56 seconds cuz i was already gagging 🤢
